	tx_name	chr	strand	peak_start	peak_stop	max_peak_test	feature_start	feature_end	width	feature_type	gene_region_start	gene_region_end	cds_len	tx_width	gene_name	rep_gene	Description	max_peak_2	max_np_gene_2	max_non_peak_ratio_2	shared	max_np_gene_1	max_peak_1	max_non_peak_ratio_1	category_1	max_peak_scaled	max_read_tx_scaled	ratioPTx	MorePeaks	category_2	comparison	img_rank	pydeg_settings_label	pydeg_settings	peak_plot_link	gene_plot_link	indx	plot_link	miRNA_link
0	AT5G28290.2	5	-	10282273	10282274	10282273	10281881	10282616	736	5UTR	10278652	10282616	1707	3964	NEK3	No	NIMA-related kinase 3	7095	83	85.4819277108434	Both Reps.	70	4505	64.3571428571429	1	4366.27990722657	8.43815469741821	517.444875543998	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	01	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/01_Peak_1-A_AT5G28290_2_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/01_Gene_1-A_AT5G28290_2_0_95_4_2.jpg?raw=true	AT5G28290.2_0	Yes	No
1	AT4G30150.1	4	+	14742296	14742300	14742299	14742292	14742451	160	5UTR	14742292	14750042	6030	7750	AT4G30150	Yes	Urb2/Npa2 family protein	27715	1110	24.9684684684685	Both Reps.	826	14279	17.2869249394673	1	15773.900390625	33.0019493103027	477.968747915767	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	02	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/02_Peak_1-A_AT4G30150_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/02_Gene_1-A_AT4G30150_1_0_95_4_2.jpg?raw=true	AT4G30150.1_0	Yes	Yes
2	AT2G48130.2	2	-	19683922	19683924	19683923	19683710	19685262	1553	3UTR	19682456	19685997	552	3541	AT2G48130	No	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	30006	2267	13.2359947066608	Both Reps.	1012	13495	13.3349802371542	1	16319.0004882813	34.9869995117188	466.430408895603	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	03	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/03_Peak_1-A_AT2G48130_2_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/03_Gene_1-A_AT2G48130_2_0_95_4_2.jpg?raw=true	AT2G48130.2_0	Yes	No
3	AT2G21940.1	2	+	9350549	9350552	9350551	9350543	9350617	75	5UTR	9350543	9353231	912	2688	SK1	No	shikimate kinase 1	45710	27817	1.64323974547938	Both Reps.	14143	20601	1.45662165028636	1	24876.44921875	66.9784965515137	371.409489605628	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	04	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/04_Peak_1-A_AT2G21940_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/04_Gene_1-A_AT2G21940_1_0_95_4_2.jpg?raw=true	AT2G21940.1_0	Yes	No
4	AT1G58180.1	1	-	21537930	21537931	21537930	21537852	21538009	158	3UTR	21537852	21539976	771	2124	BCA6	Yes	beta carbonic anhydrase 6	16366	363	45.0853994490358	Both Reps.	177	7892	44.5875706214689	1	9106.125	29.7682008743287	305.901086815525	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	05	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/05_Peak_1-A_AT1G58180_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/05_Gene_1-A_AT1G58180_1_0_95_4_2.jpg?raw=true	AT1G58180.1_0	Yes	No
5	AT3G15510.1	3	+	5245380	5245384	5245383	5245038	5245510	473	3UTR	5243432	5245510	1095	2078	NAC2	Yes	NAC domain containing protein 2	9138	13	702.923076923077	Both Reps.	6	4085	680.833333333333	1	4960.21984863282	16.2484006881714	305.274343230825	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	06	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/06_Peak_1-A_AT3G15510_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/06_Gene_1-A_AT3G15510_1_0_95_4_2.jpg?raw=true	AT3G15510.1_0	Yes	No
6	AT4G10613.1	4	+	6561609	6561613	6561612	6561480	6561726	247	3UTR	6560363	6561726	441	1363	AT4G10613	Yes	RNA-directed DNA polymerase (reverse transcriptase)-related family protein	17942	1699	10.5603296056504	Both Reps.	898	7392	8.23162583518931	1	9496.28491210938	32.8792991638184	288.822607343147	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	07	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/07_Peak_1-A_AT4G10613_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/07_Gene_1-A_AT4G10613_1_0_95_4_2.jpg?raw=true	AT4G10613.1_0	Yes	No
7	AT3G12050.1	3	+	3839110	3839114	3839113	3839101	3839288	188	5UTR	3839101	3841606	1083	2505	AT3G12050	Yes	Aha1 domain-containing protein	20465	41	499.146341463415	Both Reps.	40	9117	227.925	1	11096.4699707031	39.5634498596192	280.472759834548	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	08	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/08_Peak_1-A_AT3G12050_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/08_Gene_1-A_AT3G12050_1_0_95_4_2.jpg?raw=true	AT3G12050.1_0	Yes	No
8	AT4G36820.1	4	+	17348106	17348110	17348109	17347995	17348265	271	3UTR	17346805	17348265	1017	1460	AT4G36820	Yes	calcium uniporter (DUF607)	9965	38	262.236842105263	Both Reps.	15	4573	304.866666666667	1	5454.82495117188	20.9618997573853	260.225695872343	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	09	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/09_Peak_1-A_AT4G36820_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/09_Gene_1-A_AT4G36820_1_0_95_4_2.jpg?raw=true	AT4G36820.1_0	Yes	No
9	AT1G18400.1	1	+	6331409	6331413	6331412	6331398	6331463	66	5UTR	6331398	6333856	783	2458	BEE1	Yes	BR enhanced expression 1	36412	3243	11.2278754239901	Both Reps.	1800	14708	8.17111111111111	1	19158.6499023438	73.6842498779297	260.010109814285	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	10	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/10_Peak_1-A_AT1G18400_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/10_Gene_1-A_AT1G18400_1_0_95_4_2.jpg?raw=true	AT1G18400.1_0	Yes	No
10	AT1G68840.2	1	+	25881970	25881974	25881973	25881966	25882222	257	3UTR	25880323	25882222	1059	1899	RAV2	No	related to ABI3/VP1 2	19049	9595	1.9853048462741	Both Reps.	4282	7541	1.76109294722092	1	9963.58984375	39.4478988647461	252.575932571514	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	11	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/11_Peak_1-A_AT1G68840_2_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/11_Gene_1-A_AT1G68840_2_0_95_4_2.jpg?raw=true	AT1G68840.2_0	Yes	No
11	AT3G46800.1	3	-	17236612	17236613	17236612	17236543	17236668	126	5UTR	17234494	17236668	2049	2174	AT3G46800	Yes	Cysteine/Histidine-rich C1 domain family protein	6782	1590	4.26540880503145	Both Reps.	812	4372	5.38423645320197	1	4199.05505371094	17.4899005889893	240.084558076588	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	12	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/12_Peak_1-A_AT3G46800_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/12_Gene_1-A_AT3G46800_1_0_95_4_2.jpg?raw=true	AT3G46800.1_0	Yes	No
12	AT1G14510.1	1	-	4964490	4964492	4964491	4964155	4964515	361	5UTR	4961594	4964515	759	2921	AL7	Yes	alfin-like 7	9068	512	17.7109375	Both Reps.	225	4154	18.4622222222222	1	4960.96496582032	27.5306005477906	180.198210976493	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	13	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/13_Peak_1-A_AT1G14510_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/13_Gene_1-A_AT1G14510_1_0_95_4_2.jpg?raw=true	AT1G14510.1_0	Yes	No
13	AT1G59520.2	1	+	21865474	21865475	21865474	21865419	21865889	471	3UTR	21861282	21866210	960	4928	CW7	No	CW7	1013	9	112.555555555556	Both Reps.	13	497	38.2307692307692	1	566.925018310547	3.34928500652313	169.267475657161	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	14	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/14_Peak_1-A_AT1G59520_2_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/14_Gene_1-A_AT1G59520_2_0_95_4_2.jpg?raw=true	AT1G59520.2_0	Yes	No
14	AT1G72230.1	1	+	27189242	27189246	27189245	27189094	27189358	265	3UTR	27188036	27189358	546	1322	AT1G72230	Yes	Cupredoxin superfamily protein	10376	22	471.636363636364	Both Reps.	19	4705	247.631578947368	1	5657.93505859375	37.5928497314453	150.505617398328	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	15	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/15_Peak_1-A_AT1G72230_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/15_Gene_1-A_AT1G72230_1_0_95_4_2.jpg?raw=true	AT1G72230.1_0	Yes	No
15	AT2G22850.1	2	-	9732592	9732593	9732592	9732292	9732600	309	3UTR	9732292	9733612	684	1320	bZIP6	Yes	basic leucine-zipper 6	1067	5	213.4	Both Reps.	4	512	128.0	1	592.706008911133	4.590824842453	129.106648424085	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	16	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/16_Peak_1-A_AT2G22850_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/16_Gene_1-A_AT2G22850_1_0_95_4_2.jpg?raw=true	AT2G22850.1_0	Yes	Yes
16	AT3G11810.1	3	+	3727772	3727776	3727775	3727771	3727818	48	5UTR	3727771	3729059	1047	1288	AT3G11810	Yes	transmembrane protein	1140	74	15.4054054054054	Both Reps.	44	581	13.2045454545455	1	646.379013061524	5.95508503913879	108.542364855129	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	17	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/17_Peak_1-A_AT3G11810_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/17_Gene_1-A_AT3G11810_1_0_95_4_2.jpg?raw=true	AT3G11810.1_0	Yes	Yes
17	AT1G53970.1	1	+	20149634	20149635	20149634	20149201	20149749	549	3UTR	20148419	20149749	294	1330	AT1G53970	Yes	GDSL esterase/lipase-like protein	463	10	46.3	Both Reps.	3	323	107.666666666667	1	296.139503479004	3.34928500652313	88.4187230714129	No	A	SRR10759112-SRR10759114_and_SRR10759113-SRR10759115	18	MF: 2 - conf: 0.95	0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Peak_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/18_Peak_1-A_AT1G53970_1_0_95_4_2.jpg?raw=true	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Dplots/Oliver-2022/Gene_SRR10759112-SRR10759114_and_SRR10759113-SRR10759115/18_Gene_1-A_AT1G53970_1_0_95_4_2.jpg?raw=true	AT1G53970.1_0	Yes	No
