	tx_name	chr	strand	peak_start	peak_stop	max_peak_test	feature_start	feature_end	width	feature_type	gene_region_start	gene_region_end	cds_len	tx_width	gene_name	rep_gene	Description	max_peak_2	max_np_gene_2	max_non_peak_ratio_2	shared	max_np_gene_1	max_peak_1	max_non_peak_ratio_1	category_1	max_peak_scaled	max_read_tx_scaled	ratioPTx	MorePeaks	category_2	comparison	img_rank	pydeg_settings_label	pydeg_settings	peak_plot_link	gene_plot_link	indx	plot_link	miRNA_link
0	ATCG01300.1	Pt	+	152746	152750	152749	152506	152787	282	CDS	152506	152787	282	281	rpl23	Yes	Ribosomal_L23/L25_CS	80971	24	3373.79166666667	Both Reps.	27	86108	3189.18518518519	1	96058.44921875	4.33924007415772	22137.1594051283	No	A	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	01	MF: 2 - conf: 0.95	0	assets/Dplots/Peak_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/01_Peak_1-A_ATCG01300_1_0_95_4_2.jpg	assets/Dplots/Gene_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/01_Gene_1-A_ATCG01300_1_0_95_4_2.jpg	ATCG01300.1_0	Yes	No
1	ATCG00840.1	Pt	-	85896	85900	85899	85862	86143	282	CDS	85862	86143	282	281	rpl23	Yes	Ribosomal_L23/L25_CS	81085	25	3243.4	Both Reps.	21	85949	4092.80952380952	1	96029.94921875	4.77345013618469	20117.5138482759	No	A	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	02	MF: 2 - conf: 0.95	0	assets/Dplots/Peak_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/02_Peak_1-A_ATCG00840_1_0_95_4_2.jpg	assets/Dplots/Gene_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/02_Gene_1-A_ATCG00840_1_0_95_4_2.jpg	ATCG00840.1_0	Yes	No
2	ATMG01170.1	Mt	-	298196	298198	298197	297870	298204	335	5UTR	296820	298204	1050	1384	atp6-2	Yes	ATP_synth_F0_asu	678	25	27.12	Both Reps.	65	818	12.5846153846154	1	860.950988769532	2.17009997367859	396.733329898213	No	A	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	03	MF: 2 - conf: 0.95	0	assets/Dplots/Peak_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/03_Peak_1-A_ATMG01170_1_0_95_4_2.jpg	assets/Dplots/Gene_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/03_Gene_1-A_ATMG01170_1_0_95_4_2.jpg	ATMG01170.1_0	Yes	No
3	AT1G31860.2	1	-	11435981	11435982	11435981	11435898	11436607	710	5UTR	11434108	11436607	606	2499	AT-IE	No	histidine biosynthesis bifunctional protein (HISIE)	10437	73	142.972602739726	Both Reps.	67	5414	80.8059701492537	1	9062.77978515625	32.9848003387451	274.756242029175	No	A	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	04	MF: 2 - conf: 0.95	0	assets/Dplots/Peak_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/04_Peak_1-A_AT1G31860_2_0_95_4_2.jpg	assets/Dplots/Gene_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/04_Gene_1-A_AT1G31860_2_0_95_4_2.jpg	AT1G31860.2_0	Yes	No
4	AT4G21460.2	4	+	11430626	11430627	11430626	11430391	11430746	356	3UTR	11428445	11430746	1287	2301	AT4G21460	Yes	Ribosomal protein S24/S35	2500	44	56.8181818181818	Both Reps.	17	1618	95.1764705882353	1	2358.33001708985	10.4148449897766	226.439281564423	No	A	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	05	MF: 2 - conf: 0.95	0	assets/Dplots/Peak_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/05_Peak_1-A_AT4G21460_2_0_95_4_2.jpg	assets/Dplots/Gene_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/05_Gene_1-A_AT4G21460_2_0_95_4_2.jpg	AT4G21460.2_0	Yes	No
5	AT4G24670.1	4	-	12727631	12727632	12727631	12727531	12727939	409	3UTR	12727531	12730995	1323	3464	TAR2	Yes	tryptophan aminotransferase related 2	912	216	4.22222222222222	Both Reps.	318	901	2.83333333333333	1	1041.73498535157	7.37727999687195	141.208546482345	No	A	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	06	MF: 2 - conf: 0.95	0	assets/Dplots/Peak_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/06_Peak_1-A_AT4G24670_1_0_95_4_2.jpg	assets/Dplots/Gene_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/06_Gene_1-A_AT4G24670_1_0_95_4_2.jpg	AT4G24670.1_0	Yes	No
6	ATMG01060.1	Mt	+	275068	275070	275069	274899	275222	324	CDS	274899	275222	324	323		Yes		7724	1542	5.00907911802853	Both Reps.	951	11530	12.124079915878	1	11099.0551757813	85.4950981140137	129.820953722749	No	A	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	07	MF: 2 - conf: 0.95	0	assets/Dplots/Peak_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/07_Peak_1-A_ATMG01060_1_0_95_4_2.jpg	assets/Dplots/Gene_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/07_Gene_1-A_ATMG01060_1_0_95_4_2.jpg	ATMG01060.1_0	Yes	No
7	AT1G47400.1	1	+	17385707	17385711	17385707	17385707	17385817	111	5UTR	17385707	17386485	153	778	AT1G47400	Yes	hypothetical protein	369	8	46.125	Both Reps.	16	476	29.75	1	486.554519653321	4.77296996116639	101.939572972804	No	A	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	08	MF: 2 - conf: 0.95	0	assets/Dplots/Peak_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/08_Peak_1-A_AT1G47400_1_0_95_4_2.jpg	assets/Dplots/Gene_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/08_Gene_1-A_AT1G47400_1_0_95_4_2.jpg	AT1G47400.1_0	Yes	No
8	AT2G07806.2	2	+	3489579	3489580	3489579	3489422	3489670	249	3UTR	3484830	3489670	642	4840	AT2G07806	Yes	hypothetical protein	1384	504	2.74603174603175	Both Reps.	676	752	1.11242603550296	1	1221.66897583008	12.5849499702454	97.0738047205968	No	A	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	09	MF: 2 - conf: 0.95	0	assets/Dplots/Peak_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/09_Peak_1-A_AT2G07806_2_0_95_4_2.jpg	assets/Dplots/Gene_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/09_Gene_1-A_AT2G07806_2_0_95_4_2.jpg	AT2G07806.2_0	Yes	No
9	AT3G59710.2	3	-	22054881	22054882	22054881	22054667	22055219	553	3UTR	22054667	22056909	966	2242	AT3G59710	Yes	NAD(P)-binding Rossmann-fold superfamily protein	1441	11	131.0	Both Reps.	32	1920	60.0	1	1935.76501464844	21.263900756836	91.0352731977517	No	A	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	10	MF: 2 - conf: 0.95	0	assets/Dplots/Peak_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/10_Peak_1-A_AT3G59710_2_0_95_4_2.jpg	assets/Dplots/Gene_SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/10_Gene_1-A_AT3G59710_2_0_95_4_2.jpg	AT3G59710.2_0	Yes	No
