Score_x	global_link	Score_y	mirmap_link	Comparison	pydeg_settings_label	Transcript	miRNA	pydeg_settings
35.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G01670_1_ath-miR831-3p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G01670.1	ath-miR831-3p	0
47.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G08930_1_ath-miR163_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G08930.1	ath-miR163	0
35.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G11880_1_ath-miR833a-3p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G11880.1	ath-miR833a-3p	0
41.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G14830_1_ath-miR5020c_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G14830.1	ath-miR5020c	0
39.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G14850_1_ath-miR5641_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G14850.1	ath-miR5641	0
41.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G18740_1_ath-miR5658_0_95_4.png?raw=true	-26.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/mirmap/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_mirmap_AT1G18740_1_ath-miR5658_0_95_4.png?raw=true	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G18740.1	ath-miR5658	0
39.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G19650_1_ath-miR838_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G19650.1	ath-miR838	0
37.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G19960_1_ath-miR831-5p_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G19960.1	ath-miR831-5p	0
38.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G20770_1_ath-miR163_0_95_4.png?raw=true			SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G20770.1	ath-miR163	0
41.0	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/global/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_global_AT1G45229_1_ath-miR5025_0_95_4.png?raw=true	-18.2999992371	https://github.com/ssl-bio/Plotly_Dash-demo/blob/main/assets/Alignment/Zhang-2021/mirmap/SRR3945024-SRR103220401_and_SRR3945025-SRR103220402/Aln_mirmap_AT1G45229_1_ath-miR5025_0_95_4.png?raw=true	SRR3945024-SRR103220401_and_SRR3945025-SRR103220402	MF: 2 - conf: 0.95	AT1G45229.1	ath-miR5025	0
